asset_tag,name,model_name,manufacturer,category,status_label,notes,serial,requestable
TAG-00063,Zoom #15,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00064,Zoom #16,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00065,Zoom #17,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00066,Zoom #18,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00067,Zoom #19,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00068,Zoom #20,H5 Handy,Zoom,Audio Recorder,Ready to Deploy,Zoom Recorder/1 Capsule Mics/Foam Wind Screen/SD Card/AA Rechargeable Batteries/Transfer Cable,,1
TAG-00069,Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,,,1
TAG-00070,Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,,,1
TAG-00071,Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,,,1
TAG-00072,Boom Mics,Boom Mics,Generic,Microphones,Ready to Deploy,,,1
TAG-00073,Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,,,1
TAG-00074,Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,,,1
TAG-00075,Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,,,1
TAG-00076,Boom Poles,Boom Poles,Generic,Audio Accessories,Ready to Deploy,,,1
TAG-00077,Straight Stand,Straight Stand,Generic,mic stand,Ready to Deploy,,,1
TAG-00078,Straight Stand,Straight Stand,Generic,mic stand,Ready to Deploy,,,1
TAG-00079,Mic Stand,Mic Stand,Generic,Tabletop Stand,Ready to Deploy,,,1
TAG-00080,Shure SM58,SM58,Shure,Stick Mic,Ready to Deploy,,,1
TAG-00081,Shure SM57,SM57,Shure,Stick Mic,Ready to Deploy,,,1
TAG-00082,Clapboard,Clapboard,Generic,Accessories,Ready to Deploy,,,1
